"","estacion","departamento","provincia","municipio","latitud","longitud","altitud","tipo","propietario","financiador"
81,"Alcantari - Aeropuerto","Chuquisaca","Yamparaez","Yamparaez",-19.2383,-65.1492,3600,"Meteorológica de 2do Orden","AASANA","AASANA"
82,"La Mendoza","Chuquisaca","Yamparaez","Yamparaez",-19.35,-64.95,2080,"Meteorológica de 4to Orden","SENAMHI","OMM"
83,"Lavadero - GPRS","Chuquisaca","Yamparaez","Yamparaez",-19.1831,-65.0483,3030,"Meteorológica de 2do Orden","Gobernacion de Chuquisaca","Gobernacion de Chuquisaca"
84,"Yamparaez","Chuquisaca","Yamparaez","Yamparaez",-19.1922,-65.1206,3100,"Meteorológica de 4to Orden","SENAMHI","OMM"
85,"Icla","Chuquisaca","Zudañez","Icla",-19.3608,-64.7908,2252,"Meteorológica de 4to Orden","SENAMHI","FAO"
86,"Icla - GPRS","Chuquisaca","Zudañez","Icla",-19.3636,-64.7981,2395,"Meteorológica de 2do Orden","Gobernacion de Chuquisaca","Gobernacion de Chuquisaca"
87,"Redencion Pampa","Chuquisaca","Zudañez","Mojocoya",-18.8278,-64.6261,2465,"Meteorológica de 3er Orden","SENAMHI","OMM"
88,"Presa El Peral - GPRS","Chuquisaca","Zudañez","Presto",-18.9584,-64.8994,2657,"Meteorológica de 2do Orden","Gobernacion de Chuquisaca","Baanco Mundial"
89,"Presto (Porvenir) - GPRS","Chuquisaca","Zudañez","Presto",-18.9242,-64.9467,2562,"Meteorológica de 2do Orden","Gobernacion de Chuquisaca","Gobernacion de Chuquisaca"
90,"Viña Quemada","Chuquisaca","Zudañez","Viña Quemada",-19.4083,-64.8528,2030,"Meteorológica de 4to Orden","SENAMHI","OMM"
91,"Zudañez","Chuquisaca","Zudañez","Zudañez",-19.1189,-64.7033,2475,"Meteorológica de 3er Orden","SENAMHI","OMM"
92,"Zudañez - GPRS","Chuquisaca","Zudañez","Zudañez",-19.1236,-64.6972,2555,"Meteorológica de 2do Orden","Gobernacion de Chuquisaca","Gobernacion de Chuquisaca"
93,"Arani","Cochabamba","Arani","Arani",-17.5736,-65.7544,2767,"Meteorológica de 3er Orden","SENAMHI","OMM"
94,"Vacas - GPRS","Cochabamba","Arani","Vacas",-17.574,-65.5902,3491,"Meteorológica de 2do Orden","Servicio Departamental de Cuencas","Banco Mundial"
95,"Vilapampa Bolivar - GPRS","Cochabamba","Bolivar","Bolivar",-18.0444,-66.6997,3950,"Meteorológica de 2do Orden","FAO - Municipio","FAO - Municipio"
96,"Aiquile","Cochabamba","Campero","Aiquile",-18.2033,-65.1781,2255,"Meteorológica de 1er Orden","Servicio Departamental de Cue","Bcasnco Mundial"
97,"Omereque - GPRS","Cochabamba","Campero","Omereque",-18.108,-64.9056,1693,"Meteorológica de 2do Orden","Servicio Departamental de Cuencas","Banco Mundial"
98,"Pasorapa - GPRS","Cochabamba","Campero","Pasorapa",-18.3231,-64.6789,2157,"Meteorológica de 2do Orden","FAO - Municipio","FAO - Municipio"
99,"Capinota","Cochabamba","Capinota","Capinota",-17.7,-66.2606,2406,"Meteorológica de 3er Orden","SENAMHI","OMM"
100,"Santivañez","Cochabamba","Capinota","Santivañez",-17.5647,-66.2492,2548,"Meteorológica de 3er Orden","SENAMHI","OMM"
101,"Molle Molle","Cochabamba","Carrasco","Pocoma",-17.6928,-65.2822,2573,"Meteorológica de 4to Orden","SENAMHI","FAO"
102,"Pocona - GPRS","Cochabamba","Carrasco","Pocona",-17.6664,-65.3127,2539,"Meteorológica de 2do Orden","Servicio Departamental de Cuencas","Banco Mundial"
103,"Copachuncho B","Cochabamba","Carrasco","Pojo",-17.735,-65.0739,2639,"Meteorológica de 4to Orden","DELL ACQUA Empresa Constructora","DELL ACQUA Empresa Constructora"
104,"Pojo - GPRS","Cochabamba","Carrasco","Pojo",-17.7523,-64.8665,2038,"Meteorológica de 2do Orden","Servicio Departamental de Cuencas","Banco Mundial"
105,"Puerto Villarroel - GPRS","Cochabamba","Carrasco","Puerto Villarroel",-16.8333,-64.7925,201,"Meteorológica de 2do Orden","Cruz Roja - Municipio","Cruz Roja - Municipio"
106,"Senda VI (Ivirgarzama) - GPRS","Cochabamba","Carrasco","Puerto Villarroel",-17.0167,-64.9167,220,"Meteorológica de 2do Orden","Cruz Roja - Municipio","Cruz Roja - Municipio"
107,"Lahuachama - GPRS","Cochabamba","Carrasco","Totora",-17.5675,-65.2056,3670,"Meteorológica de 2do Orden","MMAyA (Ministerio de Medio Ambiente y Agua)","MMAyA (Ministerio de Medio Ambiente y Agua)"
108,"Sauce Pilata - GPRS","Cochabamba","Carrasco","Totora",-17.8414,-65.0716,2815,"Meteorológica de 2do Orden","Servicio Departamental de Cuencas","Banco Mundial"
109,"Uyacti Punta","Cochabamba","Carrasco","Totora",-17.7578,-65.1267,2880,"Meteorológica de 4to Orden","SENAMHI","FAO"
110,"Cochabamba - Aeropuerto","Cochabamba","Cercado","Cochabamba",-17.4161,-66.1744,2548,"Meteorológica de 2do Orden","AASANA","AASANA"
111,"Cochabamba - Sarco","Cochabamba","Cercado","Cochabamba",-17.3781,-66.1756,2567,"Meteorológica de 3er Orden","SENAMHI","OMM"
112,"INAC - GPRS","Cochabamba","Cercado","Cochabamba",-17.4253,-66.1675,2565,"Meteorológica de 2do Orden","INAC","INAC"
113,"Temporal - GPRS","Cochabamba","Cercado","Cochabamba",-17.3492,-66.1564,2813,"Meteorológica de 2do Orden","Servicio Departamental de Cuencas","Banco Mundial"
114,"Cayarani","Cochabamba","Chapare","Colomi",-17.2678,-65.8794,3317,"Meteorológica de 4to Orden","SENAMHI","FAO"
115,"Colomi","Cochabamba","Chapare","Colomi",-17.3361,-65.8708,3309,"Meteorológica de 3er Orden","SENAMHI","OMM"
116,"Vivero Chimboco - GPRS","Cochabamba","Chapare","Sacabamba",-17.3869,-66.0408,2731,"Meteorológica de 2do Orden","Servicio Departamental de Cuencas","Banco Mundial"
117,"Campamento Villa Tunari - A","Cochabamba","Chapare","Villa Tunari",-16.9731,-65.4225,310,"Meteorológica de 3er Orden","SENAMHI","FAO"
118,"Chocolatal","Cochabamba","Chapare","Villa Tunari",-17.0644,-65.6556,755,"Meteorológica de 4to Orden","SENAMHI","FAO"
119,"Cristal Mayu","Cochabamba","Chapare","Villa Tunari",-17.0075,-65.6436,516,"Meteorológica de 3er Orden","SENAMHI","OMM"
120,"Paracti","Cochabamba","Chapare","Villa Tunari",-17.21,-65.8222,1999,"Meteorológica de 4to Orden","SENAMHI","FAO"
121,"San Jacinto Barro Negro","Cochabamba","Chapare","Villa Tunari",-17.1419,-65.7086,1321,"Meteorológica de 4to Orden","SENAMHI","FAO"
122,"Villa Tunari - GPRS","Cochabamba","Chapare","Villa Tunari",-16.9731,-65.4225,310,"Meteorológica de 2do Orden","Save The Children","Save The Children"
123,"Anzaldo","Cochabamba","Esteban Arce","Anzaldo",-17.7836,-65.9328,3032,"Meteorológica de 3er Orden","SENAMHI","OMM"
124,"Arbieto - GPRS","Cochabamba","Esteban Arce","Arbieto",-17.5667,-66.0167,2860,"Meteorológica de 2do Orden","FAO - Municipio","FAO - Municipio"
